hashtag,camp
watergate,LEFT
liberallaunch,RIGHT
laborlaunch,LEFT
climatechange,LEFT
climateelection,LEFT
changetherules,LEFT
doitforbob,LEFT
changethegovernment,LEFT
stopadani,LEFT
climateemergency,LEFT
ilikebillshorten,LEFT
manus,LEFT
adani,LEFT
vote1labor,LEFT
votelabor,LEFT
voteforchange,LEFT
nauru,LEFT
nbn,LEFT
climateaction,LEFT
biloela,LEFT
murdoch,LEFT
robodebt,LEFT
votethemout,LEFT
libliars,LEFT
climatebreakdown,LEFT
climatestrike,LEFT
newscorpse,LEFT
laborfail,RIGHT
billiondollarbill,RIGHT
corruptnats,LEFT
letsdothisforbob,LEFT
scumo,LEFT
slipperysteggal,RIGHT
lnpcorruption,LEFT
votelibsout,LEFT
murdochmafia,LEFT
dumpdutton,LEFT
labortrash,RIGHT
watergate2019,LEFT
deakindeservesbetter,LEFT
slomo,LEFT
itrustbill,LEFT
fauxmo,LEFT
libspill,LEFT
